runname=input_Earth1.6_cmf0.05 
layers_found=[silicate,iron] 
phases_found=[pd,pv,ppv,liquid] 
ir_comp_layer=[0,9267] 
ir_phase_layer=[0,914,4228] 
glob_variab=[[128000000000.0, 4.2, 0.99, 2.1, 2e-05, 3, 3516.34, 1.3504217144418177e-05, 0.7520431961981274, 212401581231.49298, 217233404583.54584, 1, 1, 0, 1265.0],[169650000000.0, 4, 1, 1.4, 2e-05, 3, 3868.6235, 6.752579005160238e-06, 0.6024742873203428, 564306625972.1136, 570449915902.4921, 1, 1, 0, 1265.0],[324500000000.0, 3.3, 1.48, 1.4, 2e-05, 2.1, 4260.0, 5.347798558293684e-06, 0.7997042474303777, 1074018368626.9144, 1088191890205.4612, 1, 1, 0, 1265.0],[145520000000.0, 4.125, 2.1664000000000003, 0.644, 4e-05, 3, 6129.200000000001, 3.818607950623138e-06, 1.3084146286619651, 1482398616322.5234, 1527328601301.2651, 7.4366550894550985, 2070246.6287796963, 1, 840.0]] 
i_g_change=11453 
i,r,rho,m,g,P,T,alpha,gamma,T_melt_Fe,Kt,Ks 
69,7577460.312676,3558.599304,9.447934e+24,10.981987,1.628594e+09,2023.496459,1.929591e-05,0.965473,nan,1.396011e+11,1.345297e+11 
70,7576861.572332,3559.195674,9.446396e+24,10.981935,1.651995e+09,2023.823801,1.928621e-05,0.965133,nan,1.396942e+11,1.346229e+11 
71,7576262.831988,3559.791843,9.444859e+24,10.981883,1.675400e+09,2024.150915,1.927653e-05,0.964793,nan,1.397874e+11,1.347160e+11 
72,7575664.091644,3560.387812,9.443322e+24,10.981831,1.698809e+09,2024.477803,1.926685e-05,0.964454,nan,1.398805e+11,1.348091e+11 
73,7575065.351300,3560.983581,9.441784e+24,10.981779,1.722221e+09,2024.804464,1.925718e-05,0.964115,nan,1.399736e+11,1.349022e+11 
74,7574466.610956,3561.579151,9.440247e+24,10.981727,1.745637e+09,2025.130899,1.924752e-05,0.963777,nan,1.400667e+11,1.349954e+11 
75,7573867.870612,3562.174520,9.438709e+24,10.981675,1.769057e+09,2025.457109,1.923787e-05,0.963439,nan,1.401598e+11,1.350885e+11 
76,7573269.130268,3562.769691,9.437172e+24,10.981622,1.792481e+09,2025.783092,1.922823e-05,0.963101,nan,1.402529e+11,1.351816e+11 
77,7572670.389925,3563.364662,9.435634e+24,10.981569,1.815909e+09,2026.108851,1.921860e-05,0.962763,nan,1.403460e+11,1.352747e+11 
78,7572071.649581,3563.959435,9.434097e+24,10.981516,1.839340e+09,2026.434384,1.920898e-05,0.962426,nan,1.404391e+11,1.353678e+11 
79,7571472.909237,3564.554008,9.432559e+24,10.981463,1.862775e+09,2026.759692,1.919937e-05,0.962089,nan,1.405322e+11,1.354609e+11 
80,7570874.168893,3565.148384,9.431022e+24,10.981410,1.886214e+09,2027.084776,1.918977e-05,0.961752,nan,1.406252e+11,1.355540e+11 
81,7570275.428549,3565.742562,9.429484e+24,10.981357,1.909657e+09,2027.409636,1.918018e-05,0.961415,nan,1.407183e+11,1.356471e+11 
82,7569676.688205,3566.336541,9.427947e+24,10.981303,1.933104e+09,2027.734272,1.917060e-05,0.961079,nan,1.408114e+11,1.357401e+11 
83,7569077.947861,3566.930323,9.426409e+24,10.981249,1.956554e+09,2028.058685,1.916102e-05,0.960743,nan,1.409045e+11,1.358332e+11 
84,7568479.207517,3567.523908,9.424872e+24,10.981195,1.980008e+09,2028.382874,1.915146e-05,0.960407,nan,1.409975e+11,1.359263e+11 
85,7567880.467173,3568.117295,9.423334e+24,10.981141,2.003466e+09,2028.706840,1.914191e-05,0.960072,nan,1.410906e+11,1.360194e+11 
86,7567281.726829,3568.710486,9.421797e+24,10.981087,2.026928e+09,2029.030584,1.913236e-05,0.959737,nan,1.411836e+11,1.361125e+11 
87,7566682.986485,3569.303480,9.420259e+24,10.981033,2.050393e+09,2029.354105,1.912283e-05,0.959402,nan,1.412767e+11,1.362055e+11 
88,7566084.246141,3569.896277,9.418721e+24,10.980978,2.073863e+09,2029.677404,1.911330e-05,0.959068,nan,1.413697e+11,1.362986e+11 
89,7565485.505797,3570.488878,9.417184e+24,10.980923,2.097336e+09,2030.000481,1.910379e-05,0.958733,nan,1.414627e+11,1.363916e+11 
90,7564886.765453,3571.081284,9.415646e+24,10.980868,2.120813e+09,2030.323336,1.909428e-05,0.958399,nan,1.415558e+11,1.364847e+11 
91,7564288.025109,3571.673493,9.414109e+24,10.980813,2.144293e+09,2030.645970,1.908479e-05,0.958066,nan,1.416488e+11,1.365778e+11 
92,7563689.284765,3572.265507,9.412571e+24,10.980758,2.167778e+09,2030.968383,1.907530e-05,0.957732,nan,1.417418e+11,1.366708e+11 
93,7563090.544421,3572.857326,9.411033e+24,10.980702,2.191266e+09,2031.290576,1.906582e-05,0.957399,nan,1.418348e+11,1.367638e+11 
94,7562491.804077,3573.448949,9.409496e+24,10.980647,2.214758e+09,2031.612547,1.905635e-05,0.957066,nan,1.419278e+11,1.368569e+11 
95,7561893.063733,3574.040378,9.407958e+24,10.980591,2.238254e+09,2031.934299,1.904690e-05,0.956734,nan,1.420208e+11,1.369499e+11 
96,7561294.323389,3574.631613,9.406420e+24,10.980535,2.261753e+09,2032.255831,1.903745e-05,0.956402,nan,1.421138e+11,1.370430e+11 
97,7560695.583045,3575.222653,9.404883e+24,10.980479,2.285256e+09,2032.577143,1.902801e-05,0.956070,nan,1.422068e+11,1.371360e+11 
98,7560096.842701,3575.813499,9.403345e+24,10.980423,2.308763e+09,2032.898236,1.901858e-05,0.955738,nan,1.422998e+11,1.372290e+11 
99,7559498.102357,3576.404151,9.401807e+24,10.980366,2.332274e+09,2033.219110,1.900915e-05,0.955406,nan,1.423928e+11,1.373220e+11 
100,7558899.362013,3576.994609,9.400269e+24,10.980309,2.355789e+09,2033.539765,1.899974e-05,0.955075,nan,1.424858e+11,1.374150e+11 
101,7558300.621669,3577.584874,9.398732e+24,10.980253,2.379307e+09,2033.860202,1.899034e-05,0.954744,nan,1.425788e+11,1.375081e+11 
102,7557701.881325,3578.174946,9.397194e+24,10.980196,2.402829e+09,2034.180420,1.898095e-05,0.954414,nan,1.426717e+11,1.376011e+11 
103,7557103.140981,3578.764824,9.395656e+24,10.980139,2.426355e+09,2034.500421,1.897156e-05,0.954083,nan,1.427647e+11,1.376941e+11 
104,7556504.400637,3579.354510,9.394118e+24,10.980081,2.449885e+09,2034.820203,1.896219e-05,0.953753,nan,1.428577e+11,1.377871e+11 
105,7555905.660293,3579.944004,9.392580e+24,10.980024,2.473418e+09,2035.139769,1.895282e-05,0.953424,nan,1.429506e+11,1.378801e+11 
106,7555306.919949,3580.533305,9.391043e+24,10.979966,2.496955e+09,2035.459117,1.894347e-05,0.953094,nan,1.430436e+11,1.379731e+11 
107,7554708.179605,3581.122414,9.389505e+24,10.979908,2.520496e+09,2035.778248,1.893412e-05,0.952765,nan,1.431365e+11,1.380661e+11 
108,7554109.439261,3581.711332,9.387967e+24,10.979850,2.544040e+09,2036.097163,1.892478e-05,0.952436,nan,1.432295e+11,1.381591e+11 
109,7553510.698917,3582.300057,9.386429e+24,10.979792,2.567589e+09,2036.415862,1.891545e-05,0.952107,nan,1.433224e+11,1.382520e+11 
110,7552911.958573,3582.888592,9.384891e+24,10.979734,2.591141e+09,2036.734344,1.890613e-05,0.951779,nan,1.434154e+11,1.383450e+11 
111,7552313.218229,3583.476935,9.383354e+24,10.979675,2.614697e+09,2037.052611,1.889682e-05,0.951451,nan,1.435083e+11,1.384380e+11 
112,7551714.477885,3584.065087,9.381816e+24,10.979617,2.638256e+09,2037.370662,1.888752e-05,0.951123,nan,1.436012e+11,1.385310e+11 
113,7551115.737541,3584.653049,9.380278e+24,10.979558,2.661819e+09,2037.688498,1.887823e-05,0.950795,nan,1.436941e+11,1.386239e+11 
114,7550516.997197,3585.240820,9.378740e+24,10.979499,2.685386e+09,2038.006120,1.886894e-05,0.950468,nan,1.437871e+11,1.387169e+11 
115,7549918.256853,3585.828401,9.377202e+24,10.979440,2.708957e+09,2038.323526,1.885967e-05,0.950141,nan,1.438800e+11,1.388099e+11 
116,7549319.516509,3586.415792,9.375664e+24,10.979381,2.732532e+09,2038.640718,1.885040e-05,0.949814,nan,1.439729e+11,1.389028e+11 
117,7548720.776165,3587.002993,9.374126e+24,10.979321,2.756110e+09,2038.957696,1.884115e-05,0.949488,nan,1.440658e+11,1.389958e+11 
118,7548122.035821,3587.590004,9.372588e+24,10.979262,2.779692e+09,2039.274460,1.883190e-05,0.949161,nan,1.441587e+11,1.390887e+11 
119,7547523.295477,3588.176826,9.371051e+24,10.979202,2.803278e+09,2039.591011,1.882266e-05,0.948836,nan,1.442516e+11,1.391817e+11 
120,7546924.555134,3588.763459,9.369513e+24,10.979142,2.826867e+09,2039.907348,1.881343e-05,0.948510,nan,1.443445e+11,1.392746e+11 
121,7546325.814790,3589.349903,9.367975e+24,10.979082,2.850460e+09,2040.223472,1.880421e-05,0.948184,nan,1.444373e+11,1.393676e+11 
122,7545727.074446,3589.936159,9.366437e+24,10.979021,2.874057e+09,2040.539384,1.879500e-05,0.947859,nan,1.445302e+11,1.394605e+11 
123,7545128.334102,3590.522225,9.364899e+24,10.978961,2.897658e+09,2040.855082,1.878580e-05,0.947534,nan,1.446231e+11,1.395535e+11 
124,7544529.593758,3591.108104,9.363361e+24,10.978900,2.921262e+09,2041.170569,1.877661e-05,0.947210,nan,1.447160e+11,1.396464e+11 
125,7543930.853414,3591.693794,9.361823e+24,10.978839,2.944870e+09,2041.485843,1.876742e-05,0.946885,nan,1.448088e+11,1.397393e+11 
126,7543332.113070,3592.279297,9.360285e+24,10.978778,2.968482e+09,2041.800906,1.875825e-05,0.946561,nan,1.449017e+11,1.398322e+11 
127,7542733.372726,3592.864612,9.358747e+24,10.978717,2.992097e+09,2042.115758,1.874908e-05,0.946238,nan,1.449946e+11,1.399252e+11 
128,7542134.632382,3593.449740,9.357209e+24,10.978656,3.015717e+09,2042.430398,1.873993e-05,0.945914,nan,1.450874e+11,1.400181e+11 
129,7541535.892038,3594.034680,9.355671e+24,10.978595,3.039339e+09,2042.744827,1.873078e-05,0.945591,nan,1.451803e+11,1.401110e+11 
130,7540937.151694,3594.619434,9.354133e+24,10.978533,3.062966e+09,2043.059046,1.872164e-05,0.945268,nan,1.452731e+11,1.402039e+11 
131,7540338.411350,3595.204000,9.352595e+24,10.978471,3.086596e+09,2043.373054,1.871251e-05,0.944945,nan,1.453659e+11,1.402968e+11 
132,7539739.671006,3595.788381,9.351057e+24,10.978409,3.110230e+09,2043.686852,1.870338e-05,0.944623,nan,1.454588e+11,1.403897e+11 
133,7539140.930662,3596.372574,9.349519e+24,10.978347,3.133868e+09,2044.000440,1.869427e-05,0.944300,nan,1.455516e+11,1.404826e+11 
134,7538542.190318,3596.956582,9.347981e+24,10.978285,3.157510e+09,2044.313818,1.868517e-05,0.943978,nan,1.456444e+11,1.405755e+11 
135,7537943.449974,3597.540404,9.346443e+24,10.978222,3.181155e+09,2044.626987,1.867607e-05,0.943657,nan,1.457373e+11,1.406684e+11 
136,7537344.709630,3598.124040,9.344905e+24,10.978160,3.204804e+09,2044.939947,1.866699e-05,0.943335,nan,1.458301e+11,1.407613e+11 
137,7536745.969286,3598.707491,9.343367e+24,10.978097,3.228456e+09,2045.252698,1.865791e-05,0.943014,nan,1.459229e+11,1.408542e+11 
138,7536147.228942,3599.290757,9.341829e+24,10.978034,3.252112e+09,2045.565241,1.864884e-05,0.942693,nan,1.460157e+11,1.409471e+11 
139,7535548.488598,3599.873837,9.340291e+24,10.977971,3.275772e+09,2045.877575,1.863978e-05,0.942373,nan,1.461085e+11,1.410399e+11 
140,7534949.748254,3600.456733,9.338753e+24,10.977908,3.299436e+09,2046.189701,1.863073e-05,0.942052,nan,1.462013e+11,1.411328e+11 
141,7534351.007910,3601.039444,9.337215e+24,10.977844,3.323103e+09,2046.501619,1.862168e-05,0.941732,nan,1.462941e+11,1.412257e+11 
142,7533752.267566,3601.621970,9.335677e+24,10.977781,3.346774e+09,2046.813330,1.861265e-05,0.941412,nan,1.463869e+11,1.413186e+11 
143,7533153.527222,3602.204313,9.334139e+24,10.977717,3.370449e+09,2047.124833,1.860362e-05,0.941093,nan,1.464797e+11,1.414114e+11 
144,7532554.786878,3602.786471,9.332601e+24,10.977653,3.394128e+09,2047.436130,1.859461e-05,0.940774,nan,1.465725e+11,1.415043e+11 
145,7531956.046534,3603.368446,9.331063e+24,10.977589,3.417810e+09,2047.747219,1.858560e-05,0.940455,nan,1.466653e+11,1.415972e+11 
146,7531357.306190,3603.950237,9.329525e+24,10.977525,3.441496e+09,2048.058102,1.857660e-05,0.940136,nan,1.467580e+11,1.416900e+11 
147,7530758.565846,3604.531845,9.327987e+24,10.977460,3.465185e+09,2048.368779,1.856761e-05,0.939817,nan,1.468508e+11,1.417829e+11 
148,7530159.825502,3605.113270,9.326449e+24,10.977396,3.488878e+09,2048.679249,1.855863e-05,0.939499,nan,1.469436e+11,1.418757e+11 
149,7529561.085158,3605.694511,9.324910e+24,10.977331,3.512575e+09,2048.989514,1.854965e-05,0.939181,nan,1.470363e+11,1.419686e+11 
