runname=input_Earth 
layers_found=[silicate,iron] 
phases_found=[pd,pv,ppv,liquid,solid] 
ir_comp_layer=[0,5678] 
ir_phase_layer=[0,1238,5295,10270] 
glob_variab=[[128000000000.0, 4.2, 0.99, 2.1, 2e-05, 3, 3516.34, 1.3347850228117743e-05, 0.7459369579289227, 215373834693.77478, 219528819215.5574, 1, 1, 0, 1265.0],[169650000000.0, 4, 1, 1.4, 2e-05, 3, 3868.6235, 6.639267439902973e-06, 0.5977350803215429, 573403318632.4905, 578673568035.1329, 1, 1, 0, 1265.0],[324500000000.0, 3.3, 1.48, 1.4, 2e-05, 2.1, 4260.0, 8.114115062319741e-06, 0.9714644807972537, 767621201686.7317, 781843694922.8562, 1, 1, 0, 1265.0],[145520000000.0, 4.125, 2.1664000000000003, 0.644, 4e-05, 3, 6129.200000000001, 5.071781924046409e-06, 1.3906064461387704, 1185539027717.2808, 1231726587225.441, 1, 1, 0, 840.0],[207090000000.0, 5.64, 1.6, 0.92, 4e-05, 3, 7399.7484, 7.186760549386661e-06, 0.9451304579076872, 2206278268426.024, 2290378904830.522, 10.760757003919487, 3495833.023854817, 1, 840.0]] 
i_g_change=11453 
i,r,rho,m,g,P,T,alpha,gamma,T_melt_Fe,Kt,Ks 
115,6255486.127004,3569.313670,5.871013e+24,10.013418,2.040371e+09,1750.322710,1.912267e-05,0.959396,nan,1.405810e+11,1.362071e+11 
116,6254990.054183,3569.763780,5.870143e+24,10.013521,2.058103e+09,1750.534444,1.911543e-05,0.959142,nan,1.406516e+11,1.362778e+11 
117,6254493.981362,3570.213782,5.869272e+24,10.013624,2.075837e+09,1750.746070,1.910821e-05,0.958889,nan,1.407223e+11,1.363484e+11 
118,6253997.908541,3570.663676,5.868401e+24,10.013727,2.093573e+09,1750.957589,1.910098e-05,0.958635,nan,1.407929e+11,1.364191e+11 
119,6253501.835720,3571.113462,5.867531e+24,10.013830,2.111311e+09,1751.169000,1.909377e-05,0.958381,nan,1.408635e+11,1.364898e+11 
120,6253005.762899,3571.563141,5.866660e+24,10.013933,2.129052e+09,1751.380304,1.908656e-05,0.958128,nan,1.409342e+11,1.365604e+11 
121,6252509.690078,3572.012712,5.865790e+24,10.014036,2.146796e+09,1751.591500,1.907935e-05,0.957875,nan,1.410048e+11,1.366311e+11 
122,6252013.617257,3572.462176,5.864919e+24,10.014139,2.164542e+09,1751.802588,1.907215e-05,0.957622,nan,1.410755e+11,1.367017e+11 
123,6251517.544436,3572.911533,5.864049e+24,10.014242,2.182290e+09,1752.013570,1.906496e-05,0.957369,nan,1.411461e+11,1.367724e+11 
124,6251021.471615,3573.360782,5.863178e+24,10.014345,2.200041e+09,1752.224444,1.905777e-05,0.957116,nan,1.412167e+11,1.368430e+11 
